Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,12.120000,12.700000,12.120000,12.620000,7.790152,7098900
2013-01-03,12.640000,12.890000,12.370000,12.800000,7.901261,4449600
2013-01-04,12.740000,12.780000,12.160000,12.320000,7.604966,8732900
2013-01-07,12.370000,12.490000,12.040000,12.260000,7.567928,4316000
2013-01-08,12.380000,12.710000,12.100000,12.150000,7.500027,6697500
2013-01-09,12.400000,12.540000,12.160000,12.490000,7.709905,4341300
2013-01-10,12.570000,12.840000,12.450000,12.710000,7.845707,4399400
2013-01-11,12.740000,12.740000,12.400000,12.620000,7.790152,5042300
2013-01-14,12.620000,12.850000,12.500000,12.700000,7.839534,4984800
2013-01-15,12.620000,12.850000,12.320000,12.470000,7.697560,4198700
2013-01-16,12.470000,12.520000,12.200000,12.440000,7.679040,3518700
2013-01-17,11.940000,12.070000,11.820000,11.980000,7.395090,12415700
2013-01-18,12.070000,12.100000,11.760000,12.000000,7.407435,4254500
2013-01-21,12.000000,12.030000,11.700000,11.740000,7.246939,3784700
2013-01-22,11.750000,11.980000,11.670000,11.740000,7.246939,4558700
2013-01-23,11.920000,12.090000,11.820000,11.970000,7.388916,4109400
2013-01-24,11.910000,11.990000,11.330000,11.380000,7.024719,4704700
2013-01-28,11.500000,11.640000,11.020000,11.030000,6.808667,4606500
2013-01-29,10.950000,11.480000,10.920000,11.280000,6.962988,5188500
2013-01-30,11.260000,11.340000,10.810000,10.810000,6.672865,5397800
2013-01-31,10.890000,10.970000,10.640000,10.750000,6.635827,7473400
2013-02-01,10.840000,11.330000,10.790000,11.150000,6.882741,5492800
2013-02-04,11.090000,11.090000,10.700000,10.830000,6.685210,4995500
2013-02-05,10.830000,11.070000,10.630000,10.880000,6.716074,4376200
2013-02-06,10.900000,10.980000,10.560000,10.980000,6.777802,5607700
2013-02-07,10.960000,11.080000,10.680000,10.800000,6.666691,4989500
2013-02-08,10.940000,10.940000,10.570000,10.580000,6.530887,2932300
2013-02-13,10.650000,10.690000,10.500000,10.610000,6.549407,3428100
2013-02-14,10.550000,10.700000,10.450000,10.620000,6.555578,2484400
2013-02-15,10.620000,10.830000,10.530000,10.630000,6.561753,3337200
2013-02-18,10.660000,10.740000,10.430000,10.540000,6.506196,1894700
2013-02-19,10.610000,10.790000,10.270000,10.350000,6.388911,4716400
2013-02-20,10.350000,10.390000,9.900000,9.950000,6.141999,5769300
2013-02-21,10.000000,10.070000,9.610000,9.860000,6.086442,5772400
2013-02-22,10.000000,10.130000,9.670000,9.720000,6.000022,5288000
2013-02-25,9.850000,10.280000,9.550000,9.790000,6.043232,8941100
2013-02-26,9.790000,10.190000,9.690000,10.000000,6.172862,8829200
2013-02-27,10.100000,10.210000,9.870000,9.970000,6.154343,5661100
2013-02-28,9.960000,10.270000,9.900000,10.000000,6.172862,4268400
2013-03-01,9.950000,9.950000,9.710000,9.720000,6.000022,5247500
2013-03-04,9.710000,9.850000,9.570000,9.800000,6.049406,6090000
2013-03-05,9.930000,10.120000,9.820000,9.950000,6.141999,8452900
2013-03-06,10.140000,10.680000,10.090000,10.500000,6.481504,8309800
2013-03-07,10.650000,11.000000,10.560000,10.620000,6.555578,6911600
2013-03-08,10.490000,10.740000,10.360000,10.640000,6.567925,3257700
2013-03-11,10.550000,10.590000,10.390000,10.490000,6.475333,3121500
2013-03-12,10.530000,10.690000,10.450000,10.470000,6.462987,4311800
2013-03-13,10.470000,10.580000,10.130000,10.150000,6.265455,6267300
2013-03-14,10.370000,10.370000,9.970000,10.100000,6.234591,6080900
2013-03-15,10.200000,10.360000,9.750000,9.780000,6.037058,9562300
2013-03-18,9.710000,9.990000,9.700000,9.930000,6.129653,3752700
2013-03-19,9.710000,9.990000,9.270000,9.280000,5.728415,11713700
2013-03-20,9.280000,9.520000,9.210000,9.420000,5.814835,6029800
2013-03-21,9.400000,9.420000,9.090000,9.120000,5.629650,8857800
2013-03-22,9.240000,9.390000,9.170000,9.300000,5.740761,6603400
2013-03-25,9.380000,9.380000,9.030000,9.060000,5.592614,4586400
2013-03-26,9.130000,9.330000,9.080000,9.190000,5.672859,5861300
2013-03-27,9.180000,9.180000,8.900000,9.090000,5.611132,8417200
2013-03-28,9.110000,9.230000,8.960000,9.130000,5.635823,6375900
2013-04-01,9.350000,9.770000,9.280000,9.610000,5.932120,11116800
2013-04-02,9.350000,9.770000,8.830000,8.850000,5.682624,12767400
2013-04-03,8.870000,8.970000,8.740000,8.900000,5.714728,5728400
2013-04-04,8.940000,8.940000,8.610000,8.620000,5.534940,5239100
2013-04-05,8.410000,8.580000,8.020000,8.430000,5.412941,11376200
2013-04-08,8.450000,8.490000,8.150000,8.330000,5.348730,4810800
2013-04-09,8.390000,8.700000,8.360000,8.470000,5.438625,7141800
2013-04-10,8.550000,8.700000,8.380000,8.440000,5.419362,5861000
2013-04-11,8.500000,8.500000,8.160000,8.190000,5.258835,12413000
2013-04-12,8.130000,8.370000,8.040000,8.180000,5.252414,5295400
2013-04-15,8.050000,8.100000,7.800000,7.830000,5.027678,5390900
2013-04-16,7.900000,7.900000,7.580000,7.680000,4.931362,12954600
2013-04-17,7.620000,7.770000,7.570000,7.700000,4.944204,11110100
2013-04-18,7.760000,7.980000,7.680000,7.820000,5.021257,6179800
